shop_id,book_id
1,25479491
1,25344775
1,25311124
1,25301078
1,25274913
1,25263837
1,25257726
1,25212267
1,25207129
1,25181572
1,25174656
1,25171133
1,25160666
1,25159194
1,25103121
1,25079811
1,25073486
1,24105912
1,23809989
1,23730157
1,23669231
1,23649710
1,25105731
1,23510300
1,29273541
1,m/569020
1,28470672
1,27858240
1,25158953
1,25231948
1,25223266
1,20729051
1,23973048
1,28511842
1,25216405
1,29238416
1,28472121
1,25215729
1,20729053
1,24043436
1,om/77039
1,29247742
1,29245903
1,28982728
1,27951632
1,25809593
1,23973704
1,23276382
1,om/80012
1,25105737
1,23957001
1,25273164
1,29347311
1,29210200
1,28996440
1,28547498
1,28512258
1,27902047
1,25340646
1,29238417
1,29125982
1,28554800
1,27879545
1,27867569
1,25270364
1,25239171
1,25179947
1,25123343
1,25073249
1,24177554
1,23653468
1,23400222
1,21038926
1,29373663
1,29279193
1,29233506
1,28982366
1,25326696
1,25220923
1,22504288
1,21045158
1,23730154
1,24247776
1,29332773
1,29277316
1,28990827
1,28540937
1,27947270
1,27867577
1,26440032
1,25316999
1,25309043
1,25250244
1,25245771
1,25173582
1,25173529
1,25173471
1,25120495
1,25065780
1,23820363
1,23479825
1,23471074
1,23433178
1,23404554
1,23173684
1,22822600
1,22643719
1,21006727
1,20880708
1,25317810
1,25287855
1,25113016
1,25073251
1,24164577
1,23818157
1,23448835
1,21045159
1,20702446
1,29392149
1,29210198
1,28519552
1,26440030
1,25287795
1,23747200
1,23225314
1,20729052
1,20678936
1,20357219
1,29170202
1,28983179
1,25085545
1,23810941
1,20729055
1,20281229
1,29371135
1,28524463
1,28511841
1,27880247
1,24170709
1,24169031
1,23902940
1,23775188
1,22636917
1,20877633
1,29166120
1,29147844
1,27917289
1,27916550
1,27896786
1,27867573
1,27867562
1,27856778
1,25574469
1,25313272
1,25305486
1,25299331
1,25213490
1,25158954
1,25099363
1,24034584
1,23954616
1,23821622
1,23737828
1,23552864
1,28496742
1,25340647
1,25274780
1,25211445
1,25068480
1,24161272
1,23888590
1,23734564
1,23718684
1,23229294
1,23225311
1,22924661
1,22517031
1,29388313
1,29375348
1,29274843
1,29263262
1,29238419
1,29224780
1,29224040
1,29200265
1,29194987
1,29191767
1,28521821
1,28517680
1,28511829
1,27849141
1,27444753
1,25220919
1,25154841
1,24050075
1,23957063
1,23948863
1,23510302
1,23225312
1,22643720
1,29213389
1,27906658
1,29270072
1,29225637
1,29125983
1,28972035
1,28548771
1,28511843
1,27922763
1,27867584
1,26439829
1,25313275
1,25284507
1,21045156
1,20747730
1,25216391
